[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /api/v1/login             --> movie-microservice/m/controllers.(*Movie).Login-fm (3 handlers)
[GIN-debug] GET    /api/v1/movies/list       --> movie-microservice/m/controllers.(*Movie).ListMovies-fm (3 handlers)
[GIN-debug] POST   /api/v1/movies            --> movie-microservice/m/controllers.(*Movie).AddMovie-fm (4 handlers)
[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (3 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8809
[GIN] 2022/10/06 - 16:22:39 | 404 |         917ns |             ::1 | GET      "/"
[GIN] 2022/10/06 - 16:22:39 | 404 |         750ns |             ::1 | GET      "/favicon.ico"
[GIN] 2022/10/06 - 16:22:40 | 200 |     360.791µs |             ::1 | GET      "/swagger/index.html"
[GIN] 2022/10/06 - 16:22:40 | 200 |    1.221541ms |             ::1 | GET      "/swagger/swagger-ui-bundle.js"
[GIN] 2022/10/06 - 16:22:40 | 200 |     795.125µs |             ::1 | GET      "/swagger/swagger-ui-standalone-preset.js"
[GIN] 2022/10/06 - 16:22:40 | 200 |    1.252708ms |             ::1 | GET      "/swagger/swagger-ui.css"
[GIN] 2022/10/06 - 16:22:40 | 200 |     327.625µs |             ::1 | GET      "/swagger/doc.json"
[GIN] 2022/10/06 - 16:22:40 | 200 |      52.459µs |             ::1 | GET      "/swagger/favicon-16x16.png"
[GIN] 2022/10/06 - 16:24:21 | 404 |         791ns |             ::1 | GET      "/"
[GIN] 2022/10/06 - 16:36:18 | 200 |     241.208µs |             ::1 | GET      "/swagger/index.html"
[GIN] 2022/10/06 - 16:36:18 | 200 |      154.75µs |             ::1 | GET      "/swagger/swagger-ui.css"
[GIN] 2022/10/06 - 16:36:18 | 200 |     773.625µs |             ::1 | GET      "/swagger/swagger-ui-bundle.js"
[GIN] 2022/10/06 - 16:36:18 | 200 |     251.333µs |             ::1 | GET      "/swagger/swagger-ui-standalone-preset.js"
[GIN] 2022/10/06 - 16:36:18 | 200 |     244.541µs |             ::1 | GET      "/swagger/doc.json"
[GIN] 2022/10/06 - 16:36:18 | 200 |      48.083µs |             ::1 | GET      "/swagger/favicon-32x32.png"
[GIN] 2022/10/06 - 16:36:18 | 200 |      28.416µs |             ::1 | GET      "/swagger/favicon-16x16.png"
[GIN] 2022/10/06 - 16:36:20 | 200 |     107.459µs |             ::1 | GET      "/swagger/index.html"
[GIN] 2022/10/06 - 16:36:20 | 200 |     211.042µs |             ::1 | GET      "/swagger/doc.json"
[GIN] 2022/10/06 - 16:38:03 | 200 |      148.25µs |             ::1 | GET      "/swagger/index.html"
[GIN] 2022/10/06 - 16:38:03 | 304 |      71.292µs |             ::1 | GET      "/swagger/swagger-ui.css"
[GIN] 2022/10/06 - 16:38:03 | 304 |      58.375µs |             ::1 | GET      "/swagger/swagger-ui-standalone-preset.js"
[GIN] 2022/10/06 - 16:38:03 | 304 |          19µs |             ::1 | GET      "/swagger/swagger-ui-bundle.js"
[GIN] 2022/10/06 - 16:38:03 | 200 |         248µs |             ::1 | GET      "/swagger/doc.json"
[GIN] 2022/10/06 - 16:38:03 | 200 |       101.5µs |             ::1 | GET      "/swagger/index.html"
[GIN] 2022/10/06 - 16:38:04 | 200 |     222.709µs |             ::1 | GET      "/swagger/doc.json"
[GIN] 2022/10/06 - 16:51:22 | 404 |         959ns |             ::1 | POST     "/moviemanagement/api/v1/login"
[GIN] 2022/10/06 - 16:51:33 | 200 |    5.673625ms |             ::1 | POST     "/api/v1/login"
[GIN] 2022/10/06 - 16:52:12 | 200 |    3.383333ms |             ::1 | GET      "/api/v1/movies/list"
[GIN] 2022/10/06 - 16:53:18 | 200 |   21.880583ms |             ::1 | POST     "/api/v1/movies"
[GIN] 2022/10/06 - 16:53:22 | 200 |      582.75µs |             ::1 | GET      "/api/v1/movies/list"
