[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /api/v1/admin/auth        --> user-microservice/m/controllers.(*User).Authenticate-fm (3 handlers)
[GIN-debug] POST   /api/v1/users             --> user-microservice/m/controllers.(*User).AddUser-fm (4 handlers)
[GIN-debug] GET    /api/v1/users/list        --> user-microservice/m/controllers.(*User).ListUsers-fm (4 handlers)
[GIN-debug] GET    /api/v1/users/detail/:id  --> user-microservice/m/controllers.(*User).GetUserByID-fm (4 handlers)
[GIN-debug] GET    /api/v1/users/            --> user-microservice/m/controllers.(*User).GetUserByParams-fm (4 handlers)
[GIN-debug] DELETE /api/v1/users/:id         --> user-microservice/m/controllers.(*User).DeleteUserByID-fm (4 handlers)
[GIN-debug] PATCH  /api/v1/users             --> user-microservice/m/controllers.(*User).UpdateUser-fm (4 handlers)
[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (3 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8808
[GIN] 2022/10/07 - 10:59:31 | 200 |    6.315167ms |       127.0.0.1 | POST     "/api/v1/admin/auth"
[GIN] 2022/10/07 - 10:59:38 | 200 |     545.917µs |       127.0.0.1 | POST     "/api/v1/admin/auth"
[GIN] 2022/10/07 - 10:59:50 | 200 |     649.917µs |             ::1 | GET      "/swagger/index.html"
[GIN] 2022/10/07 - 10:59:50 | 200 |     318.125µs |             ::1 | GET      "/swagger/swagger-ui.css"
[GIN] 2022/10/07 - 10:59:50 | 200 |     520.917µs |             ::1 | GET      "/swagger/swagger-ui-standalone-preset.js"
[GIN] 2022/10/07 - 10:59:50 | 200 |    1.094958ms |             ::1 | GET      "/swagger/swagger-ui-bundle.js"
[GIN] 2022/10/07 - 10:59:50 | 200 |     579.833µs |             ::1 | GET      "/swagger/doc.json"
[GIN] 2022/10/07 - 11:06:34 | 200 |     152.834µs |             ::1 | GET      "/swagger/index.html"
[GIN] 2022/10/07 - 11:06:34 | 304 |      31.291µs |             ::1 | GET      "/swagger/swagger-ui.css"
[GIN] 2022/10/07 - 11:06:34 | 304 |     244.042µs |             ::1 | GET      "/swagger/swagger-ui-standalone-preset.js"
[GIN] 2022/10/07 - 11:06:34 | 304 |      19.666µs |             ::1 | GET      "/swagger/swagger-ui-bundle.js"
[GIN] 2022/10/07 - 11:06:34 | 200 |     483.667µs |             ::1 | GET      "/swagger/doc.json"
[GIN] 2022/10/07 - 11:06:34 | 200 |      55.709µs |             ::1 | GET      "/swagger/favicon-32x32.png"
[GIN] 2022/10/07 - 11:06:34 | 200 |      20.708µs |             ::1 | GET      "/swagger/favicon-16x16.png"
[GIN] 2022/10/07 - 11:06:52 | 200 |     138.833µs |             ::1 | GET      "/swagger/index.html"
[GIN] 2022/10/07 - 11:06:52 | 200 |     249.167µs |             ::1 | GET      "/swagger/swagger-ui-standalone-preset.js"
[GIN] 2022/10/07 - 11:06:52 | 200 |     637.584µs |             ::1 | GET      "/swagger/swagger-ui-bundle.js"
[GIN] 2022/10/07 - 11:06:52 | 200 |     249.542µs |             ::1 | GET      "/swagger/swagger-ui.css"
[GIN] 2022/10/07 - 11:06:52 | 200 |     472.959µs |             ::1 | GET      "/swagger/doc.json"
[GIN] 2022/10/07 - 11:08:37 | 200 |     711.792µs |             ::1 | POST     "/api/v1/admin/auth"
[GIN] 2022/10/07 - 11:10:55 | 200 |     809.708µs |       127.0.0.1 | POST     "/api/v1/admin/auth"
[GIN] 2022/10/07 - 11:12:45 | 401 |     226.167µs |             ::1 | GET      "/api/v1/users/list"
Error #01: Token is expired
[GIN] 2022/10/07 - 11:12:51 | 200 |     768.208µs |             ::1 | GET      "/api/v1/users/list"
